,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date
0,1lWgg3gJzy1ejSJLN3ydqg,Jupiter Moons,116718,5zUSfxfP1NETZiaWt0Ui0a,Casiio,5Pq3A5yEiAz6hBOslGZa4T,Far Off,2022-02-16
1,7G4sGJvIZZs8IePWqzEpvQ,Young Again,206470,6ysKfYgiKUTMCuq2fSTLK3,xander.,4Ncvj3VT68hPbjLv7LT0Hh,Forest Of Dreams,2022-03-10
2,6trLPOBjf8nWjMtl5PibbV,Solitude,110305,5fQYCNYjrT9c4ZssNrC0gh,leaf beach,2dYxugKzxoX6phylPQ2I2x,Solitude,2020-06-26
3,6yzoosToQTjFNu6WjuWahI,Hold My Hand,164161,3iGthn6RykA9JUHnilAIr0,Krynoze,38KDWtXii83A6xj26chFbk,Tomorrow Comes,2022-01-21
4,77ROLrTU9b0PX3kVFbcvmX,fuji,165013,3Zi91vuWAU6SUwcKDf8zDq,Bert,5M7Fen0QRGgHb6bhjSOKT1,offline,2021-06-25
5,7yuQfty6xy8DkToRRERmot,Starry night,147945,0vpi2tMaHCn6YHS6L7qgoe,eugenio izzi,2IVhCTG5pRtZx8VCjr4YxD,Reflections in the moonlight,2021-06-13
6,2Z2UlqPUQzHob90fBjBBoy,Painted Skies,154000,0F1wth3t5bL0Vdjuk34yMP,Nogymx,7uCk7eSnxjBI38WEruaLSt,Mirage of the Mind,2022-02-08
7,330rQkmHgiDIOuZiCbZHF0,In The Fields,149457,0xC8LfT2owfXVS57Bcz6sH,Plant Guy,5iJB8gwP7A2qoIR0igOx9h,In Harmony With Nature,2022-02-28
8,2CJJLY9d5HL2FVte3nXv8T,Northern Lights,136800,6bA2OonnJsG1tN9yClu2aC,mell-ø,0W4SoHQy4Uvy7sjqqo3AYD,Time To Go,2021-08-20
9,1oBztH9i09z0Nc099LbZif,Moonlit,133770,4GKyEHBQxZKcVESiIggVaU,Prithvi,6p2INecNLR2k2GfnvZBBdO,Timescapes : Longer Nights,2022-03-08
10,0sOwQkubS2Immh2g0DraZW,pluto,166000,2lWv7a6ohSVtXArF7q4dWc,Amess,56AiniCw9M1y0nag0UGFf6,To the moon and back,2021-11-08
11,7vqNjtEpw7zHFq2HKgEqQs,time for bed,139746,4BJR5CJ5btzmku8BpERMwp,Goodnyght,6KzqYnbtrrwR6aZc6CZHdv,Sleep Cycles EP,2021-06-17
12,4PufljWRY3OkJPjD7NXaWC,Patience,249113,3pSfwb3p6BVPTYDkNdgxS2,Arbour,4glDpuXbaJl6SdpQGPKap4,4 Am. Study Session,2021-04-26
13,2Ro1TdPyLfhfaTbww8CX66,Destination Unknown,172000,2zNmlxTlRfyMAAifd2f71Q,amies,6X1d5VgWEGNrwjRbvePqFT,Oblivion,2021-04-14
14,57ppNfMVD8H3by7cFGM5o9,Fairy Lights,195478,1csp9v9FfSxU0LcBtfWFCb,Tibeauthetraveler,7DPE3hyRUX3NZFhR7ikQRC,Travel Buddies,2022-03-14
15,73XgSkcLnqRgAWxNlmNTFu,donato,72000,4p6uSzp3RTnHrfgkZEUj4O,Fuyu,1heiA9pGmSI2GXMTBRnaWx,household,2021-01-29
16,6knClxS3hrl98YJrzcLxLW,when i close my eyes,130968,1R9fj5Tiy9XMFp5ANzS7FA,Jhove,6EwaSEaZRx1YWJWBL34XdO,dream tapes,2021-07-19
17,6X3vEFdzve6LsK9balsY9L,"Floating, Drifting",177164,40GMyQ5sv1bfiui9CrEPME,Lawrence Walther,40Hit6WOcn3rE4uYO7gnR0,Floating into Serenity,2021-12-16
18,0mTlSLFiKld97GGTZMtIeS,On a Mission,154144,5BJiJign2sqMUCJhpStgNd,Team Astro,2ZVFxHhNDuiSbGzDyKohdY,Three of Us,2022-02-22
19,5rTooMHd97cPnmU5unlVzu,Cozy Home,96925,0xC8LfT2owfXVS57Bcz6sH,Plant Guy,5iJB8gwP7A2qoIR0igOx9h,In Harmony With Nature,2022-02-28
20,27G1NZHwIJjxVoVybSbwRc,from me to you,170125,1bbah9s09626gweOzzLbKG,Towerz,2VEa2ZdUZixLajyluonXXg,At Long Last,2021-09-09
21,07Z0cJkK6FyLarI9z0dcSl,Invisible Medicine,174545,0rgPemi3mvhFTP6R5nQ2tt,squeeda,1ACSKfGHRJ1E6xbgBXj4by,Lost World,2021-08-22
22,3YTOydgI27cslWgVrSK28A,ontario,147646,4btBTQ1pWqpnDPY4BWMh1S,Spencer Hunt,5LAg05maJKVBniq4tR9Yv4,Windy City,2021-11-02
23,5GUX3q63UrVIyTLG7VTDap,Floating,143956,3azKf6nXrUCI1RLZkX4Aj6,H.1,1WGGVNNbHqAkNTgM2CKOYi,Indigo Night,2021-12-04
24,00Vsf8TJHRcEne8mFkfvb2,Introspection,134088,2ZVKeej6s975bMSdzxjIhu,Elijah Lee,0M5ePVYl9cqqk4Lbb3V8h4,Vanishing Journey,2021-05-16
25,3yUHxNRBMcuuqPxxYtJDeV,snowfall,155806,3vVw6m3rihy77VuqxApdLA,Blurred Figures,3l1I2SI6vb6tLK3bwO2eF9,finding comfort,2021-09-21
26,6BsXh31ECG75EvqG59Hxsn,Celestial Spin,159640,46RYzJ2442SuhtOTl281nz,Dimension 32,0lJBdylPkClCNS5w9TE166,Aeolia,2022-03-16
27,6tIp8iZnZlrC2fmH3ZJNLj,Insides,146935,3iGthn6RykA9JUHnilAIr0,Krynoze,38KDWtXii83A6xj26chFbk,Tomorrow Comes,2022-01-21
28,2MJKhWKszAGHBv0tjC4Irj,a lonely star,217333,1R9fj5Tiy9XMFp5ANzS7FA,Jhove,3QgECGXMleqOfgn7VnQyKp,falling dreams,2021-02-21
29,7FLCdpekIVLJLVG5ybImp3,ayla,108800,0FayAsrcVWzpOFe9FCn4t4,Bhxa,5GAica5gZTH0hBbcHIXjVI,Ayla,2022-01-19
30,5fW90pA6rdgqWHJUBL1vpD,Wishing Star,144230,4GKyEHBQxZKcVESiIggVaU,Prithvi,6p2INecNLR2k2GfnvZBBdO,Timescapes : Longer Nights,2022-03-08
31,40w3aKlMLiyoyZp9ouJvdQ,Looking Back,112735,4vv1FFVqxnHyQFLmWxjizb,Hevi,0ZqJ5jFxriw3q8u7IssIFZ,"Before It’s Late, Pt. 2",2021-08-12
32,7k3QLsRuIi7f5l7o0yzjw4,Calm Afternoon,109749,1KIGjwZj1Iojrjpf9FPrfS,Akīn,4HBs6jXChb9se0iiFz8ELZ,Directions,2022-03-06
33,1hdxh2kuBMpPfuBpzgzTbV,Flying Away,151538,5g8EUiiIZDqp2xd9eUUHin,Enluv,1ZYNklagsA3pZvixfpPKaJ,Cloud Studies,2021-04-22
34,1ik1Hwjlx4LryBgTECjhLp,Solemn,150000,1bbah9s09626gweOzzLbKG,Towerz,4MiKAPFXQBfiQZsI1HJzwn,Solemn,2022-03-04
35,5mqy8AjWbNSSBbbLm65izO,Glistening,149117,656fNsyi29ZFuxOc7cBdIs,Loafy Building,3b3A1KSes0XHzn2EMeLzHv,Butterflies,2022-03-12
36,1nSDCQhhyFV9etJfUflRoI,As Time Goes By,172000,0UaXCEXCTPbdBBs0w8ae2Y,Ivylake,2pVjq2UfWue9udjrJoZvLp,Moonfern,2022-02-26
37,4gCIwhkNeWVNhPZHKpCfdn,I Thought We Were Friends,125721,53rCVzFVlyntj7jEjnY2oM,Yasumu,1eqLYSGrnhN1XPVKLSnu9U,Creating Memories,2021-07-23
38,6cTUQvYQjTTBGPjMny2Ywz,Longer Nights,133333,4GKyEHBQxZKcVESiIggVaU,Prithvi,6p2INecNLR2k2GfnvZBBdO,Timescapes : Longer Nights,2022-03-08
39,5uE1OPUrVOYU6MN89i6BcM,Dancing in the Dark,153000,1XFN3VcuKr4tsTtQlRiTgK,Mondo Loops,3nVbqIZAmRpGcZsGEnRW7i,Nature’s Beauty,2022-03-26
40,15esNv10A7PEooSw3il32D,Another Era,137583,0liH4Jfiz66Rqjz4DH3JZk,S N U G,2nivV1pgFdEoGRwQmSjsRj,Purple Skies,2021-06-15
41,5wPVakVziXmVSQ00whRAHI,youth,143414,4ApyJoQGYHAcMtJEvK5tRx,steezy prime,51j7xJWF9OJjL4E6TZ28AE,beyond the pines,2021-06-11
42,4Aag0PuLGRXw1tyhQuqXOP,Butterflies,125070,656fNsyi29ZFuxOc7cBdIs,Loafy Building,3b3A1KSes0XHzn2EMeLzHv,Butterflies,2022-03-12
43,4g5RTeFaWDWkZfAiVu8wCA,Afterglow,144093,5zUSfxfP1NETZiaWt0Ui0a,Casiio,2pjMQNuSOb92Y5u31qmEaz,Particles,2021-05-20
44,442lx6H3C2mEiQAoSJU4JJ,Flow,135384,0sLb0ouettR8lDLnEgCSVK,Living Room,6i3t1dreoioNY4IF5TBWk5,After The Rainbow,2021-12-12
45,7gUq6yvBNXouRVDAsDkcdI,Pleine Lune,187455,2ZVKeej6s975bMSdzxjIhu,Elijah Lee,2OMVwTfVvcDYL1DR3l7zim,My Memoir,2022-01-29
46,5XreaY4Ex1gYhGAM9dzZzR,Frost Flowers,132933,6sPQwc6lix6K1Gv64v91Ml,Ambulo,2SpnX3NIKoP6AW5xlBF3qB,Sea Forest,2022-03-02
47,5bVRJOKzW3AcURehniGRyz,Fireflies,182400,2zNmlxTlRfyMAAifd2f71Q,amies,2s5On7RgkMxMf7jxWjn7Pa,Nocturne,2021-07-03
48,2sdDZNXhmzjDtWf6E98aZN,Desire,145500,1csp9v9FfSxU0LcBtfWFCb,Tibeauthetraveler,7DPE3hyRUX3NZFhR7ikQRC,Travel Buddies,2022-03-14
49,0QqusGKX2WdoIrVNbU2xwS,Memories We Made,227532,4XbnhifKeOnyfTsCInrQsX,No Spirit,2IY4JPVLjlaQ3ntmeidENb,Memories We Made,2020-09-05
